KIC,numax,new_numax,smooth_numax,Delnu,o_Teff,o_log(g),o_[Fe/H],g_Teff,g_Teff_e,g_log(g),g_log(g)_e,g_[M/H],g_[M/H]_e,gs_Teff,gs_Teff_e,gs_log(g),gs_log(g)_e,gs_[M/H],gs_[M/H]_e,gs_[Fe/M],gs_[Fe/M]_e,gs_[Fe/H],gs_[Fe/H]_e,a_Teff,a_Teff_e,a_log(g),a_log(g)_e,a_[Fe/H],a_[Fe/H]_e,L_Teff,L_Teff_e,L_log(g),L_log(g)_e,L_[Fe/H],L_[Fe/H]_e
3347458,39.99,41.04,31.99,3.36,5000,2.519,0.18,,,,,,,4689,12.5,1.95,0.03,0.04,0.015,-0.11,0.115,-0.07,0.116,4863,84,2.525,0.039,0.165,0.0066,,,,,,
8378545,48.82,50.42,39.06,3.952,5058,2.608,0.22,,,,,,,4817,24,2.34,0.065,0.23,0.025,-0.09,0.11,0.14,0.113,4959,87,3.142,0.059,0.157,0.0067,5009,32,2.761,0.053,0.323,0.03
5978324,49.1,49.96,47.12,4.024,5051,2.61,-0.07,,,,,,,5168,28.5,2.85,0.07,0.11,0.035,-0.13,0.145,-0.02,0.149,5051,92,2.701,0.05,-0.098,0.0081,,,,,,
10068490,66.42,62.88,53.14,5.206,5189,2.747,-0.14,5740.95,4.38,2.6822,0.0184,0.0805,0.0004,5330,71,3.31,0.295,0.05,0.12,,,0.05,0.120,5228,102,2.769,0.062,-0.201,0.0101,5254.75,37.05,2.699,0.061,-0.216,0.035
4756133,80.81,81.31,65.16,5.865,5152,2.831,0.11,,,,,,,4978,21.5,2.48,0.07,0,0.015,-0.13,0.14,-0.13,0.141,5186,95,3.014,0.056,0.091,0.0081,,,,,,
7175316,43.3,43.36,38.43,3.736,5007,2.554,-0.04,4923.40,4.75,2.4831,0.0207,0.0573,0.0076,4759,7.5,2.06,0.02,0.07,0.02,-0.16,0.075,-0.09,0.078,,,,,,,,,,,,
7024018,89.54,86.3,73.75,6.598,5235,2.879,-0.17,5040.59,8.93,2.7239,0.01835,-0.1645,0.00905,5107,38.5,2.94,0.13,0.13,0.05,0.1,0.155,0.23,0.163,5194,95,3.101,0.057,0.07,0.0082,5206.64,19.86,2.87,0.031,0.123,0.017
6547176,46.76,44,40.78,4.044,5195,2.595,0.02,6687.24,73.41,2.5035,0.0172,-2.4191,0.37655,5576,117.5,3.03,0.14,0.46,0.08,,,0.46,0.080,5112,93,2.609,0.053,-0.003,0.0081,,,,,,
8621290,68.01,67.38,60.22,5.403,5253,2.76,0.15,4927.95,6.09,2.6319,0.0084,0.0324,0.00695,4836,10.5,2.16,0.03,0.08,0.015,-0.18,0.11,-0.1,0.111,4999,88,2.771,0.046,0.135,0.0071,,,,,,
10384595,47,,43.25,4.71,5213,2.662,-0.1,,,,,,,4803,42,2.23,0.14,-0.14,0.05,,,-0.14,0.050,4935,89,2.763,0.044,-0.103,0.0077,4864,94,2.581,0.154,-0.194,0.091
6599955,76.5,75.89,72.88,5.829,5023,2.801,-0.24,4967.69,0.89,2.3687,0.0158,-0.4892,0.0002,5146,30,2.23,0.1,-0.01,0.03,0.05,0.155,0.04,0.158,,,,,,,5361,27,2.769,0.044,0.125,0.023
3955502,24.68,,24.22,2.48,5121,2.314,0.05,,,,,,,4944,33,1.89,0.145,0.07,0.06,,,0.07,0.060,5086,101,2.764,0.053,-0.038,0.0094,5018,82,2.182,0.134,-0.002,0.079
8037930,58.35,55.22,48.44,4.702,5084,2.686,0.23,4450.02,13.96,1.8708,0.02785,-0.4249,0.00895,,,,,,,,,,,,,,,,,,,,,,
8569885,45.32,45.25,43.6,4.013,5262,2.584,0.15,5038.59,2.72,2.516,0.0173,-0.0918,0.00325,4977,7,2.11,0.025,0.05,0.01,-0.17,0.09,-0.12,0.091,5213,96,2.905,0.058,0.067,0.0082,5207,23,2.575,0.036,0.153,0.019
3747623,29.1,29.54,28.5,4.28,5379,2.396,-0.79,5520.85,27.89,4.1513,0.02315,-0.8648,0.0448,,,,,,,,,,,,,,,,,5083,22,2.581,0.037,-0.667,0.021
6529078,32.5,,31.02,4.03,5007,2.501,-0.1,4545.46,6.47,2.286,0.01635,-0.3509,0.0032,,,,,,,,,,,,,,,,,,,,,,
11518639,53.79,58.38,50.64,4.555,5198,2.656,-0.01,4762.20,5.59,2.4253,0.0205,-0.1688,0.00405,,,,,,,,,,,,,,,,,,,,,,
7988900,47.3,48.66,41.74,4.163,5046,2.594,0.07,,,,,,,4818,11,1.87,0.045,-0.17,0.02,-0.16,0.165,-0.33,0.166,5088,93,2.684,0.052,-0.033,0.0081,,,,,,
8365782,82.94,80.08,72.72,6.204,5118,2.841,0.05,4945.89,4.86,2.6525,0.0162,-0.0088,0.0043,4871,7.5,1.95,0.005,-0.08,0.01,-0.38,0.11,-0.46,0.110,5107,94,2.861,0.053,-0.034,0.0081,4983,30,2.305,0.044,-0.186,0.024
2579142,5.41,,5.73,0.747,4124,1.608,-0.09,4498.69,55.65,1.9552,0.1057,0.0495,0.0017,4055,17.5,1.24,0.06,-0.26,0.02,-0.19,0.13,-0.45,0.132,4077,68,1.501,0.052,-0.092,0.0081,3998.68,42.35,1.977,0.069,-0.1,0.038
9612933,54.05,56.81,43.32,4.405,4881,2.644,-0.36,,,,,,,4947,14.5,2.17,0.055,-0.05,0.02,-0.16,0.13,-0.21,0.132,5100,93,2.76,0.052,-0.001,0.0079,5093,22,2.6,0.031,0.031,0.018
7971558,28.59,28.52,27.04,2.862,5176,2.38,-0.1,4712.54,6.08,2.2761,0.0478,-0.3551,0.00485,,,,,,,,,,,,,,,,,,,,,,
10547065,40.52,,35.71,3.742,5106,2.529,0.22,4698.15,31.02,2.3635,0.0329,-0.0333,0.0039,,,,,,,,,,,4789,93,2.52,0.037,0.222,0.0079,4748,27,2.62,0.044,0.214,0.025
10094550,57.29,57.36,53.47,4.8,5094,2.679,0.15,4870.88,19.14,2.4613,0.09475,-0.563,0.00485,5072,11.5,2.34,0.05,0.09,0.015,-0.26,0.14,-0.17,0.141,5099,92,2.663,0.051,0.0623,0.0077,,,,,,
10736390,74.32,72.57,63.74,5.709,5145,2.794,0.18,,,,,,,4906,15,2.22,0.065,0.03,0.02,-0.16,0.135,-0.13,0.136,5068,91,2.812,0.05,0.092,0.0075,,,,,,
3758458,74.21,67.44,63.57,5.836,5139,2.793,0.17,,,,,,,4984,31.5,2.62,0.105,0.15,0.02,-0.03,0.14,0.12,0.141,5050,91,2.813,0.049,0.09,0.0074,5041,44.49,2.777,0.073,0.084,0.043
5564131,38.94,38.67,35.91,3.615,5094,2.511,-0.16,5076.27,120.64,2.6469,0.0846,-0.1501,0.2148,,,,,,,,,,,,,,,,,5053,37,2.292,0.061,-0.106,0.035
4370592,50.38,51.15,45.21,4.465,5209,2.628,0.11,4824.79,8.04,2.4885,0.01475,-0.2531,0.00155,4879,10,2.07,0.05,-0.06,0.01,-0.17,0.105,-0.23,0.105,5046,91,2.736,0.049,0.026,0.0076,,,,,,
5097690,59.23,60,58.19,4.939,5172,2.697,0.06,4920.68,2.72,2.2954,0.0176,-0.6121,0.00235,5049,11.5,2.28,0.045,-0.16,0.015,-0.14,0.115,-0.3,0.116,5244,98,2.793,0.049,-0.036,0.0089,5239.85,26.79,2.672,0.044,-0.047,0.025
9286851,86.98,84.84,72.99,6.566,5075,2.859,0.12,5057.24,1.43,2.8009,0.02855,-0.0681,0.0026,4967,14.5,2.53,0.07,0.05,0.02,-0.3,0.135,-0.25,0.136,5097,92,2.98,0.051,0.063,0.0077,5185,31,2.937,0.051,0.145,0.029
6866251,94.81,95.28,93.04,7.139,5243,2.904,0,5089.51,3.10,2.8099,0.01495,-0.1156,0.0015,4988,28,2.35,0.1,-0.05,0.02,-0.11,0.18,-0.16,0.181,5174,95,3.082,0.056,0.005,0.0083,,,,,,
5106376,63.66,64.92,52.93,5.104,4997,2.72,-0.02,4807.70,14.27,2.4966,0.0169,-0.2361,0.004,4895,19.5,2.33,0.08,0.01,0.025,-0.12,0.17,-0.11,0.172,5067,92,2.734,0.05,0.055,0.0076,5016,23,2.621,0.038,0.005,0.021
4562675,66.14,66.05,63.75,5.361,5084,2.741,-0.01,4838.49,2.89,2.4266,0.0159,-0.4666,0.0056,4960,7.5,2.3,0.025,-0.04,0.01,-0.18,0.105,-0.22,0.105,,,,,,,5064.44,31.07,2.59,0.043,-0.012,0.025
8525150,71.39,72.57,69.48,5.645,5002,2.771,-0.23,,,,,,,4914,5.5,2.23,0.02,-0.06,0.01,-0.17,0.06,-0.23,0.061,,,,,,,,,,,,
5631956,56.14,55.91,46.48,4.741,5031,2.667,0.12,4689.16,12.68,2.4624,0.02805,-0.3692,0.0038,,,,,,,,,,,5044,102,2.685,0.05,0.057,0.0093,5000.39,180.33,2.383,0.283,-0.08,0.169
9245283,42.34,42.89,40.88,3.828,5050,2.546,0.05,,,,,,,4812,12,1.89,0.05,-0.16,0.02,-0.14,0.155,-0.3,0.156,5039,91,2.615,0.049,-0.031,0.0078,,,,,,
