KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,M17,Simbad,_RA,_DE
3347458,10.3,17,1235.8,39.99,1.77,3.36,0.02,39.7,17.4,1.7,950.1,67.1,5000,159,2.519,0.021,0.18,0.3,4.56,0.67,19.46,0.99,5.15,0.76,20.68,1.05,5.24,0.78,20.87,1.06,2,M17,Simbad,292.77283,38.43248
8378545,11.78,17,1235.5,48.82,4.01,3.977,0.04,23,22.9,9.3,731.4,65.9,5058,80,2.608,0.036,0.22,0.15,4.3,1.09,17.06,1.47,4.91,1.25,18.23,1.57,4.9,1.24,18.21,1.57,2,M17,Simbad,296.26709,44.3718611
5978324,10.96,18,1318.1,49.1,0.8,4.074,0.023,23.5,17.6,2.2,362.2,20.2,5051,80,2.61,0.009,-0.07,0.15,3.97,0.27,16.34,0.42,4.41,0.31,17.24,0.45,4.7,0.33,17.78,0.46,2,M17,Simbad,296.65195,41.22208
10068490,12.26,18,1317.7,66.42,5.52,5.206,0.076,13.7,19.1,6.7,238.2,44.8,5189,80,2.747,0.036,-0.14,0.15,3.83,0.99,13.72,1.23,4.38,1.14,14.67,1.32,4.61,1.2,15.04,1.35,2,M17,Simbad,289.05295,47.0409811
4756133,10.58,14,974.9,80.81,2.22,5.994,0.03,19.9,31.3,3.7,167.4,21.9,5152,80,2.831,0.013,0.11,0.15,3.89,0.37,12.55,0.42,4.45,0.42,13.43,0.45,4.51,0.43,13.51,0.45,2,M17,Simbad,294.38312,39.84494
7175316,9,18,1317.9,43.3,2.88,3.716,0.036,25.1,19.5,2,894.8,53.9,5007,142,2.554,0.03,-0.04,0.3,3.88,0.82,17.24,1.24,4.27,0.9,18.09,1.31,4.51,0.95,18.58,1.35,2,M17,Simbad,281.97849,42.7441411
7024018,11.52,18,1317.9,89.54,3.37,6.628,0.028,16.2,32.2,4.3,184.3,35,5235,100,2.879,0.017,-0.17,0.3,3.62,0.45,11.46,0.48,4.16,0.51,12.28,0.52,4.36,0.54,12.57,0.53,2,M17,Simbad,288.74969,42.5809289
6547176,11.72,18,1318.1,46.76,1.41,4.079,0.076,18.1,17.7,2.4,348.3,30.5,5195,80,2.595,0.014,0.02,0.15,3.56,0.44,15.74,0.8,4.06,0.51,16.83,0.87,4.17,0.53,17.05,0.88,2,M17,Simbad,298.2778,41.9696619
8621290,9.38,10,681.9,68.01,2.17,5.403,0.036,26.4,23.7,2.9,560,68.8,5253,183,2.76,0.016,0.15,0.3,3.61,0.43,13.12,0.54,4.17,0.49,14.1,0.58,4.13,0.49,14.03,0.58,2,M17,Simbad,290.51724,44.74192
10384595,12.2,18,1318,54.42,0.29,4.6,0.024,76,14.5,4.4,710.6,76.7,5213,154,2.662,0.008,-0.1,0.3,3.48,0.22,14.43,0.34,3.97,0.25,15.4,0.37,4.13,0.26,15.72,0.38,1,M17,Simbad,281.51407,47.5076711
6599955,11.62,18,1317.9,76.5,1.08,5.829,0.031,18.2,24.5,2.4,257.4,12.7,5023,175,2.801,0.011,-0.24,0.3,3.55,0.28,12.4,0.35,3.82,0.3,12.86,0.37,4.1,0.33,13.33,0.38,2,M17,Simbad,289.91006,42.0861889
3955502,12.27,15,1138.9,24.68,0.61,2.523,0.069,46.1,9.7,6.1,3294.4,217.1,5121,80,2.314,0.012,0.05,0.15,3.5,0.49,21.56,1.34,3.93,0.56,22.86,1.46,4.06,0.58,23.23,1.49,0,M17,Simbad,291.83844,39.0194019
8037930,13.45,14,1125.8,58.35,1.31,4.762,0.023,42.5,18,2.1,974.1,113.3,5084,173,2.686,0.013,0.23,0.3,3.6,0.34,14.26,0.47,4.08,0.38,15.18,0.5,4.04,0.38,15.11,0.5,2,M17,Simbad,294.91647,43.8936611
8569885,9.04,18,1317.8,45.32,0.83,4.013,0.038,34.2,19.3,2,761.4,42.4,5262,80,2.584,0.01,0.15,0.15,3.52,0.28,15.87,0.49,4.06,0.33,17.04,0.53,4.01,0.32,16.92,0.53,2,M17,Simbad,295.49878,44.6485481
3747623,13.93,17,1308.6,29.1,1.32,2.94,0.048,84.2,18.4,12,5602.7,498.9,5379,178,2.396,0.021,-0.79,0.3,3.34,0.55,19.19,1.15,3.82,0.63,20.49,1.25,4,0.66,20.98,1.28,2,M17,Simbad,291.6283,38.8635411
6529078,13.87,10,777.2,38.36,0.6,3.49,0.088,137.1,16.1,0.8,2914.9,279.1,5007,157,2.501,0.011,-0.1,0.3,3.47,0.44,17.32,0.98,3.72,0.47,17.95,1.04,3.97,0.51,18.54,1.08,2,M17,Simbad,293.91266,41.9089811
11518639,13.87,15,1211.8,53.79,2.31,4.59,0.066,28.2,26.1,6.4,551.9,135.3,5198,187,2.656,0.021,-0.01,0.3,3.38,0.52,14.31,0.81,3.82,0.6,15.21,0.87,3.94,0.62,15.45,0.88,2,M17,Simbad,296.85648,49.45649
7988900,10.3,18,1318.2,47.3,2.4,4.108,0.042,37,22.2,2.1,635.5,28,5046,80,2.594,0.023,0.07,0.15,3.42,0.56,15.47,0.88,3.76,0.61,16.2,0.93,3.92,0.64,16.55,0.95,2,M17,Simbad,300.09964,43.7368811
8365782,10.06,18,1318,82.94,1.52,6.314,0.028,18.5,22.4,4.8,282.6,36.9,5118,80,2.841,0.01,0.05,0.15,3.38,0.24,11.57,0.3,3.76,0.27,12.2,0.32,3.89,0.28,12.4,0.33,2,M17,Simbad,291.90381,44.3867989
2579142,11.36,8,552.9,5.41,0.17,0.747,0.067,565,2.2,0.4,370877.1,65996.9,4124,100,1.608,0.015,-0.09,0.15,3.46,1.29,48.36,8.85,3.49,1.31,48.61,8.92,3.87,1.49,51.19,9.63,1,M17,Simbad,292.15579,37.8485719
